Date/Time,Open,Close,ROC
1/1/20,1849.7,1828.5,-1.1461318051575955
1/2/20,1831.0,1824.2,-0.37138175860185446
1/6/20,1827.0,1789.9,-2.0306513409961635
1/10/20,1886.0,1876.95,-0.47985153764580885
1/13/2020,1925.0,1914.65,-0.537662337662333
1/15/2020,1938.0,1933.55,-0.22961816305469793
1/20/2020,2000.0,1936.65,-3.167499999999995
1/21/2020,1930.0,1912.35,-0.9145077720207302
1/22/2020,1930.0,1914.7,-0.792746113989635
1/28/2020,1944.7,1930.45,-0.7327608371471178
2/1/20,2120.0,2072.05,-2.2617924528301803
2/7/20,2295.0,2287.2,-0.3398692810457596
2/11/20,2480.0,2394.5,-3.4475806451612905
2/14/2020,2440.0,2408.35,-1.2971311475409875
2/17/2020,2354.5,2339.45,-0.6392015289870538
2/24/2020,2448.8,2389.7,-2.4134269846455556
2/25/2020,2399.0,2331.75,-2.8032513547311377
2/27/2020,2347.3,2319.7,-1.1758190261151265
3/2/20,2335.0,2228.95,-4.541755888650972
3/4/20,2260.0,2198.45,-2.7234513274336365
3/9/20,2185.0,2145.7,-1.7986270022883377
3/11/20,2146.8,2109.95,-1.7165082914104883
3/12/20,2049.0,2004.5,-2.1717911176183504
3/18/2020,2050.1,1920.9,-6.302131603336414
3/19/2020,1824.9,1824.9,0.0
3/23/2020,1820.3,1820.3,0.0
3/24/2020,1838.0,1808.7,-1.594124047878126
3/27/2020,2087.75,2079.7,-0.3855825649622887
4/1/20,2218.0,2082.7,-6.100090171325526
4/3/20,2101.5,2066.95,-1.6440637639781195
4/9/20,2392.65,2392.65,0.0
4/13/2020,2320.0,2273.05,-2.023706896551716
4/16/2020,2151.0,2137.85,-0.6113435611343604
4/17/2020,2214.0,2212.1,-0.0858175248419192
4/28/2020,2339.0,2305.8,-1.4194100042753237
5/4/20,2310.2,2281.3,-1.250973941650058
5/5/20,2320.0,2198.95,-5.217672413793111
5/6/20,2200.0,2175.6,-1.1090909090909131
5/12/20,2320.55,2303.35,-0.7412035939755779
5/13/2020,2353.0,2352.15,-0.0361240968975737
5/14/2020,2344.35,2324.4,-0.8509821485699584
5/18/2020,2333.0,2306.55,-1.1337333904843472
5/19/2020,2341.95,2337.5,-0.19001259634064854
5/22/2020,2484.8,2398.3,-3.4811654861558274
5/26/2020,2339.0,2283.25,-2.3834972210346304
5/27/2020,2222.2,2200.2,-0.9900099000990011
5/29/2020,2330.0,2269.35,-2.6030042918454974
6/1/20,2320.1,2305.5,-0.6292832205508345
6/3/20,2390.0,2349.3,-1.7029288702928795
6/8/20,2520.0,2459.5,-2.400793650793651
6/9/20,2461.0,2390.1,-2.8809427062169886
6/10/20,2400.0,2388.35,-0.48541666666667044
6/15/2020,2373.0,2365.3,-0.32448377581120175
6/17/2020,2390.0,2340.4,-2.075313807531377
6/19/2020,2372.7,2363.15,-0.40249504783578743
6/22/2020,2366.0,2350.4,-0.6593406593406556
6/24/2020,2397.8,2358.35,-1.6452581533072095
6/25/2020,2348.0,2305.55,-1.8079216354344045
6/26/2020,2329.7,2294.4,-1.5152165514873044
6/29/2020,2294.4,2290.95,-0.15036610878662277
7/1/20,2325.0,2289.35,-1.5333333333333372
7/2/20,2302.0,2295.5,-0.28236316246741966
7/3/20,2305.0,2290.15,-0.6442516268980437
7/8/20,2385.0,2319.55,-2.744234800838567
7/9/20,2329.7,2320.35,-0.4013392282268064
7/10/20,2328.7,2322.7,-0.25765448533516555
7/14/2020,2215.0,2154.85,-2.7155756207674986
7/15/2020,2170.0,2146.35,-1.089861751152078
7/16/2020,2145.0,2007.05,-6.431235431235434
